,English,Bengala
12685,Gharbari,ঘরবাড়ি
12686,Durga ndhey,দুর্গন্ধে
12687,Shalbonitey,শালবনিতে
12688,Dekh,দেখ
12689,Over ei,ওভারেই
12690,Mandali r,মণ্ডলীর
12691,Pranisampad,প্রাণিসম্পদ
12692,Sangbidhaney,সংবিধানে
12693,Kolkata teo,কলকাতাতেও
12694,Bikini,বিকিনি
12695,Sahokomira,সহকর্মীরা
12696,Nilanjan,নীলাঞ্জন
12697,Bachey,বাঁচে
12698,Poshaki,পোশাকি
12699,Jalashoy,জলাশয়ের
12700,Abiram,অবিরাম
12701,Galagali,গালাগালি
12702,Kanika,কণিকা
12703,Chchadin,ছদিন
12704,Jogabey,জোগাবে
12705,Kochchop,কচ্ছপ
12706,Mike er,মাইকের
12707,Dharmotolla,ধর্মতলার
12708,Pennamer,প্লেনামের
12709,Parshi,পড়শি
12710,Filmy,ফিল্মি
12711,Odomyo,অদম্য
12712,Bolchila m,বলছিলাম
12713,Jiten,জিতেন
12714,Write,রাইট
12715,Cholibey,চলিবে
12716,Gaan o,গানও
12717,Rajanikanta,রজনীকান্ত
12718,Bondho i,বন্ধই
12719,Rakhitey,রাখিতে
12720,Chereche,ছেড়েছে
12721,Upari,উপরি
12722,Burn,বার্ন
12723,Debesh,দেবেশ
12724,Dayboddho,দায়বদ্ধ
12725,Duekti,দুএকটি
12726,Asame,আসামি
12727,Kodomey,কদমে
12728,Basbhabane,বাসভবনে
12729,Raghunathpure,রঘুনাথপুরে
12730,Bagdar,বাগদার
12731,Utrey,উতরে
12732,Rasta ta,রাস্তাটা
12733,Brishchik,বৃশ্চিক
12734,Bhobisateo,ভবিষ্যতেও
12735,Rupayoney,রূপায়ণে
12736,Bastu shastra,বাস্তুশাস্ত্রের
12737,Singapore,সিঙ্গাপুরের
12738,Vietnaam,ভিয়েতনাম
12739,Asiya,আসিয়া
12740,Soondarbane,সুন্দরবনে
12741,Pathaben,পাঠাবেন
12742,Phari,ফাঁড়ি
12743,Ranodip,রণদীপ
12744,Jadab ke,যাদবকে
12745,IB,আইবি
12746,Udbegjonok,উদ্বেগজনক
12747,Arsalon,আর্সেনাল
12748,Shilpider,শিল্পপতিদের
12749,Bibechanar,বিবেচনার
12750,Jairum,জয়রাম
12751,Thakitey,থাকিতে
12752,Wicket keeper,উইকেটকিপার
12753,Varman,বর্মণ
12754,Miteche,মিটেছে
12755,Tomluke,তমলুকে
12756,Bacteria,ব্যাকটেরিয়া
12757,Hongkong,হংকং
12758,Tarpor o,তারপরও
12759,Sishya,শিষ্য
12760,Tartaza,তরতাজা
12761,Tabutey,তাঁবুতে
12762,Chorachori,ছড়াছড়ি
12763,Hoteo,হতেও
12764,Sukhendu,সুখেন্দু
12765,Marketting,মার্কেটিং
12766,Bemaloom,বেমালুম
12767,Purtomontri,পূর্তমন্ত্রী
12768,Pee eich d,পিএইচডি
12769,Banner e,ব্যানারে
12770,Girl,গার্ল
12771,Vardhyoko,বার্ধক্য
12772,Jamaj,যমজ
12773,Gani,গনি
12774,Haati ra,হাতিরা
12775,Gouraber,গৌরবের
12776,Rupa r,রূপার
12777,Shringa,শৃঙ্গ
12778,Ratna,রত্না
12779,Comedy,কমেডি
12780,Lagoo,লাগু
12781,Apabyabahar,অপব্যবহার
12782,Cable,কেব্‌ল
12783,Uttejana,উত্তেজনায়
12784,Cholakalin,চলাকালীনই
12785,Mithoon,মিথুন
12786,Babyasa o,ব্যবসাও
12787,Boloy,বলয়
12788,Sanghati,সংহতি
12789,Murti ti,মূর্তিটি
12790,Vote k,ভোটকে
12791,Hoe,হয়ে
12792,Agrason,আগ্রাসন
12793,Bigrey,বিগড়ে
12794,Badami,বাদামি
12795,Outdoor e,আউটডোরে
12796,Pinglar,পিংলার
12797,Nirdharan er,নির্ধারণের
12798,Bharatey,ভরতে
12799,Swikar o,স্বীকারও
12800,Jalashoye,জলাশয়ে
12801,Disha hara,দিশাহারা
12802,Kampaner,কম্পনের
12803,Haldibari,হলদিবাড়ি
12804,Janagan,জনগণ
12805,Etoguli,এতগুলি
12806,Kotogulo,কতগুলো
12807,Villain,ভিলেন
12808,Personal,পার্সোনাল
12809,Chokh,চোখ
12810,Bhabanipurer,ভবানীপুরে
12811,Onda,ওন্দা
12812,Chikitsha,চিকিত্সকের
12813,Patri,পাত্রী
12814,Chorar,ছোড়ার
12815,Hoileo,হইলেও
12816,Khato,খাটো
12817,Thoat,ঠোঁটে
12818,Rasher,রাসের
12819,Dutabas,দূতাবাস
12820,Jamai er,জামাইয়ের
12821,Takapoysa,টাকাপয়সা
12822,Rajarhate,রাজারহাটে
12823,Gopiballavpur,গোপীবল্লভপুর
12824,Doorgapoojay,দুর্গাপুজোয়
12825,Rakshit,রক্ষিত
12826,Ubhayer,উভয়ের
12827,Nisthur,নিষ্ঠুর
12828,Prakhar,প্রখর
12829,Answer,আনসার
12830,Bhejal,ভেজাল
12831,Munmun,মুনমুন
12832,Ghataker,ঘটকের
12833,Karilen,করিলেন
12834,Binoykrishna,বিনয়কৃষ্ণ
12835,Oshur,অসুর
12836,Purosabha o,পুরসভাও
12837,Oojar,উজাড়
12838,Bariteo,বাড়িতেও
12839,Ekotrito,একত্রিত
12840,Lorai tey,লড়াইতে
12841,Noisho,নৈশ
12842,Uddeshei,উদ্দেশ্যেই
12843,Kamarhatir,কামারহাটির
12844,Jantei,জানতেই
12845,Knockout,নকআউট
12846,Gramyo,গ্রাম্য
12847,Uttorottor,উত্তরোত্তর
12848,Canteen,ক্যান্টিন
12849,Peter er,পিটারের
12850,Hatiti k,হাতিটিকে
12851,Chandni,চাঁদনি
12852,Porti,পড়ত
12853,Volleyball,ভলিবল
12854,Nirmola,নির্মলা
12855,Udhrito,উদ্ধৃত
12856,Sir er,স্যারের
12857,Barita,বাড়িটা
12858,Satarka,সর্তক
12859,Protijogider,প্রতিযোগীদের
12860,Baba o,বাবাও
12861,Bathroom e,বাথরুমে
12862,Sthapotyor,স্থাপত্যের
12863,But,বাট
12864,Kartooz,কার্তুজ
12865,Third,থার্ড
12866,Open er,ওপেনের
12867,Help,হেল্প
12868,Equity,ইকুইটি
12869,Peara,পেয়ারা
12870,Premiker,প্রেমিকের
12871,Einstein,আইনস্টাইন
12872,Eyenjibi k,আইনজীবীকে
12873,Masi r,মাসির
12874,Kharijer,খারিজের
12875,Chchirey,ছিঁড়ে
12876,Derso,দেড়শো
12877,Basu k,বসুকে
12878,Ph,ফ
12879,Biswa bank,বিশ্বব্যাঙ্কের
12880,Bharaye,ভাড়ায়
12881,Follow,ফলো
12882,Haji,হাজি
12883,Dristantomulak,দৃষ্টান্তমূলক
12884,Alok,আলোক
12885,CB l k,সিবিআইকে
12886,Army,আর্মি
12887,Bahirbivag,বহির্বিভাগ
12888,Tarapithe,তারাপীঠে
12889,Monobid,মনোবিদ
12890,Hotahoto r,হতাহতের
12891,Ananda bazarey,আনন্দবাজারে
12892,Upor o,উপরও
12893,Minute e,মিনিটেই
12894,Rajyasabha,রাজ্যসভা
12895,Porjotonmontri,পর্যটনমন্ত্রী
12896,Bati tey,বাটিতে
12897,Anushkar,অনুষ্কার
12898,Bhogey,ভোগে
12899,Kator,কাতর
12900,Tiktata,তিক্ততা
12901,Panchameer,পঞ্চমীর
12902,Kalo,কালো
12903,Dashey,দশে
12904,Uttara,উত্তরা
12905,Putin,পুতিন
12906,Ghonisto tar,ঘনিষ্ঠতার
12907,Cashless,ক্যাশলেস
12908,Curry,কারি
12909,Jiagaunj,জিয়াগঞ্জ
12910,Icon,আইকন
12911,Ko diner,কদিনের
12912,Sunrisers,সানরাইজার্স
12913,Troller,ট্রলার
12914,Nordoma,নর্দমার
12915,Jakkha,যক্ষ্মা
12916,Abalilay,অবলীলায়
12917,Ekmash,একমাস
12918,Berechilo,বেড়েছিল
12919,Kencho,কেঁচো
12920,Travel,ট্রাভেল
12921,Ahoto r,আহতের
12922,Bhangar,ভাঙড়
12923,Chcha bochorer,ছবছরের
12924,Hajira r,হাজিরার
12925,Jetty,জেটি
12926,Anaswikarjo,অনস্বীকার্য
12927,Khola,খোলা
12928,Bhatarer,ভাতারের
12929,Egotey i,এগোতেই
12930,Osodhito,অশোধিত
12931,She,শি
12932,Sujoger,সুযোগের
12933,Tithi,তিথি
12934,Ghumonto,ঘুমন্ত
12935,Game e,গেমে
12936,Da,ডা
12937,ADCP,এডিসিপি
12938,Rake,রেক
12939,Kaley,কলে
12940,Drisyoto i,দৃশ্যতই
12941,Eye eyetee vpr,আইআইটির
12942,Prourer,প্রৌঢ়ের
12943,Shatru r,শত্রুর
12944,Porinaam,পরিণাম
12945,Sonket,সংকেত
12946,Asishbabu,আশিসবাবু
12947,Srinagar,শ্রীনগর
12948,Hete i,হেঁটেই
12949,Prokriya,প্রক্রিয়াও
12950,LBW,এলবিডব্লিউ
12951,Ochchey,অচ্ছে
12952,Nodal,নোডাল
12953,R G .KAR,আরজিকর
12954,Pota,পোঁতা
12955,Konokromey,কোনওক্রমে
12956,Subhaser,সুভাষের
12957,Matratirikta,মাত্রাতিরিক্ত
12958,Harley,হারলে
12959,Daii,ডাঁই
12960,Tantkhonik,তাৎক্ষণিক
12961,Guskara,গুসকরা
12962,Jaya r,জয়ার
12963,Sudiper,সুদীপের
12964,Dome,ডোম
12965,Hawaii,হাওয়াই
12966,Kidney r,কিডনির
12967,Ebhabe i,এভাবেই
12968,Chobi tei,ছবিতেই
12969,Mohonto,মহন্ত
12970,Dhritara,ধৃতরা
12971,Cabinet,ক্যাবিনেট
12972,Sena k,সেনাকে
12973,Kheye i,খেয়েই
12974,Adventure,অ্যাডভেঞ্চার
12975,Nondon,নন্দন
12976,Jaritader,জড়িতদের
12977,Bete,বেটে
12978,Dao ay,দাওয়ায়
12979,Dankuni,ডানকুনি
12980,Lorbey,লড়বে
12981,Engineer der,ইঞ্জিনিয়ারদের
12982,Nutya,নিত্যনতুন
12983,Jhoper,ঝোপের
12984,Raajbari,রাজবাড়ি
12985,Sobhyota,সভ্যতা
12986,Dighi,দিঘি
12987,Abdullah,আবদুল্লা
12988,Sticker,স্টিকার
12989,Asamiya,অসমিয়া
12990,Ajay er,অজয়ের
12991,Attadhik,অত্যধিক
12992,Koralen,করালেন
12993,Mangalkot,মঙ্গলকোট
12994,Bhagyotai,ভাগটাই
12995,Saha k,সাহাকে
12996,Bhebechen,ভেবেছেন
12997,Sucheta,সুচেতা
12998,Maach,ম্যাচই
12999,Jhimiye,ঝিমিয়ে
13000,Store,স্টোর
13001,Bona,বোনা
13002,Under,আন্ডার
13003,Tattoo,ট্যাটু
13004,Bujhbey,বুঝবে
13005,Protibochor,প্রতিবছর
13006,Jessop,জেসপ
13007,Gosthidwonder,গোষ্ঠীদ্বন্দ্বে
13008,Monika,মনিকা
13009,Doob,ডুব
13010,Samatal,সমতল
13011,Neemtala,নিমতলা
13012,Dhirmotallay,ধর্মতলায়
13013,Paloney,পালনে
13014,Kamaan,কামান
13015,Kanpur,কানপুর
13016,Montrok k,মন্ত্রককে
13017,Rastropunja,রাষ্ট্রপুঞ্জ
13018,Academy,অকাদেমি
13019,Khele i,খেলেই
13020,Chatrabhanga,ছত্রভঙ্গ
13021,Dhanu,ধনু
13022,Songey,সঙ্গে 
13023,IT,আইটি
13024,Porasonaye,পড়াশোনায়
13025,Miraj,মিরাজ
13026,Porechilen,পড়েছিলেন
13027,Janapad,জনপদ
13028,Uttambabu,উত্তমবাবু
13029,Studies,স্টাডিজ
13030,Gulio,গুলিও
13031,Kootir,কুটির
13032,Talika o,তালিকাও
13033,Jathasombhob,যথাসম্ভব
13034,Aingoto,আইনগত
13035,Sha,সাঁ
13036,Upakulrakkhi,উপকূলরক্ষী
13037,Gu nda,গুন্ডা
13038,Kalpanar,কল্পনার
13039,Palteche,পাল্টেছে
13040,Nashter,নষ্টের
13041,Chaliye o,চালিয়েও
13042,Opening,ওপেনিং
13043,Match ti,ম্যাচটি
13044,Deshbirodhi,দেশবিরোধী
13045,Dekhiya,দেখিয়া
13046,Sabhapotir,সভাধিপতির
13047,As babpotro,আসবাবপত্র
13048,Doorgotshob,দুর্গোৎসব
13049,Kisti,কিস্তি
13050,Ghorano,ঘোরানো
13051,Congressi,কংগ্রেসি
13052,Yadu,জাদু
13053,Manushtir,মানুষটির
13054,Saptamir,সপ্তমীর
13055,Sutrodhar,সূত্রধর
13056,Buddhababu,বুদ্ধবাবু
13057,Proura,প্রৌঢ়া
13058,Shyamali,শ্যামলী
13059,Thamlo,থামল
13060,Choto ra,ছোটরা
13061,Te o,তেও
13062,Thake i,থাকেই
13063,Netritte i,নেতৃত্বেই
13064,Parodirshi,পারদর্শী
13065,Matigara,মাটিগাড়ার
13066,Uchchatara,উচ্চতর
13067,Baatshorik,বাৎসরিক
13068,Oishab,ওইসব
13069,Finance,ফিনান্স
13070,Gari ti k,গাড়িটিকে
13071,England k,ইংল্যান্ডকে
13072,Er,থার্মোকলের
13073,Placard,প্ল্যাকার্ড
13074,Utsob,উত্সব
13075,Jarimana,জরিমানাও
13076,Nabagata,নবাগত
13077,Tabu,তাঁবু
13078,Jhanda,ঝান্ডা
13079,Datta r,দত্তর
13080,Vol,ভোল
13081,Rajani,রজনী
13082,Gatipath,গতিপথ
13083,Mohakarshiyo,মহাকর্ষীয়
13084,Ghora,ঘোরা
13085,Nirdeshak,নির্দেশকে
13086,Nityajatri,নিত্যযাত্রীরা
13087,Daari,দাঁড়ি
13088,Barangbar,বারংবার
13089,Kostokar,কষ্টকর
13090,Sangathan o,সংগঠনও
13091,Korta ra i,কর্তারাই
13092,Kaaj ke,কাজকে
13093,Namaj,নমাজ
13094,Enjoy,এনজয়
13095,Karatey i,করাতেই
13096,Mohali,মোহালি
13097,Stroke,স্ট্রোক
13098,Becha,বেচা
13099,Chir,চিড়
13100,Sekhatey,শেখাতে
13101,Sabhate,সভাতেই
13102,Kaalker,কালকের
13103,Dalal der,দালালদের
13104,Sastho kormi,স্বাস্থ্যকর্মী
13105,Uddan er,উদ্যানের
13106,Stan,স্তন
13107,Koma,কমা
13108,Ghot,ঘট
13109,Vijendra,বিজেন্দ্র
13110,Naayika der,নায়িকাদের
13111,Porikkha kendra,পরীক্ষাকেন্দ্রে
13112,Avenue r,অ্যাভিনিউয়ের
13113,Culture,কালচার
13114,Segulor,সেগুলোর
13115,Comeback,কামব্যাক
13116,Bibhed,বিভেদ
13117,Namleo,নামলেও
13118,Dekhchilam,দেখছিলাম
13119,Pathbati,পথবাতি
13120,Adrwata,আর্দ্রতা
13121,Aswini,অশ্বিনী
13122,Chitabagher,চিতাবাঘের
13123,Nobomee,নবমী
13124,Aamtar,আমতার
13125,Nirghanta,নির্ঘণ্ট
13126,Rickshaw,রিকশায়
13127,Scooter,স্কুটার
13128,Totka,টোটকা
13129,Jibh,জিভ
13130,Celeb der,সেলেবদের
13131,Sampadona,সম্পাদনা
13132,Mosjide,মসজিদে
13133,Kistitey,কিস্তিতে
13134,Hoora,হুড়া
13135,Dhakal,ধকল
13136,Babool r,বাবুলের
13137,Anurodh,অনুরোধ
13138,Reja,রেজা
13139,No bochor,নবছর
13140,Metal,মেটাল
13141,Mayabotir,মায়াবতীর
13142,Mondol o,মণ্ডলও
13143,Uchchasey,উচ্ছ্বাসে
13144,Goaldata,গোলদাতা
13145,Bhabtam,ভাবতাম
13146,Brown,ব্রাউন
13147,Sakkhograhan,সাক্ষ্যগ্রহণ
13148,Loitey,লইতে
13149,Athletics,অ্যাথলেটিক্স
13150,Ta chchara,তাছাড়া
13151,Aphshos,আফশোস
13152,Joshi,জোশী
13153,Bhaijaan,ভাইজান
13154,Barajor,বড়জোড়া
13155,Sodosyora o,সদস্যরাও
13156,Duty tey,ডিউটিতে
13157,Azizul,আজিজুল
13158,Longhoner,লঙ্ঘনের
13159,Lay,লে
13160,Hizbul,হিজবুল
13161,Ekusher,একুশের
13162,Aangti,আংটি
13163,Krititter,কৃতিত্বের
13164,Sirsendu,শীর্ষেন্দু
13165,Goratey,গড়াতে
13166,Teachers,টিচার্স
13167,Sindoor e,সিঁদুরে
13168,Samparkata,সম্পর্কটা
13169,Dwandey,দ্বন্দ্বে
13170,Gay en,গায়েন
13171,Sima r,সীমার
13172,Lathi charge,লাঠিচার্জ
13173,Ek talaye,একতলায়
13174,Jote ni,জোটেনি
13175,INS,আইএনএস
13176,Gulshaner,গুলশনের
13177,Koti tey,কোটিতে
13178,Bankshall,ব্যাঙ্কশাল
13179,Soundorjor,সৌন্দর্যায়ন
13180,Nritter,নৃত্যের
13181,MP,এমপি
13182,Biswasjogya,বিশ্বাসযোগ্য
13183,School e,স্কুলেও
13184,Table er,টেবলের
13185,Koridorer,করিডরের
13186,Ghantakhaneker,ঘণ্টাখানেকের
13187,Thakumar,ঠাকুমার
13188,Lara,লারা
13189,Prasutider,প্রসূতিদের
13190,Zimbabaw er,জিম্বাবোয়ের
13191,Oxygen er,অক্সিজেনের
13192,Promano,প্রমাণও
13193,Dapoter,দাপটের
13194,Padartheyr,পদার্থের
13195,Harachche,হারাচ্ছে
13196,Swajon,স্বজন
13197,Dalmer,দলমার
13198,Indus,ইন্দাস
13199,Dhas er,ধসের
13200,Pandel,প্যান্ডেল
13201,Ultodike,উল্টোদিকে
13202,Mooltoobi,মুলতুবি
13203,Suto oy,সুতোয়
13204,Baniyeche,বানিয়েছে
13205,Plot,প্লট
13206,Choklate,চকলেট
13207,Uluberia,উলুবেড়িয়া
13208,Kormi i,কর্মীই
13209,Sarbakkhan,সর্বক্ষণ
13210,Praak,প্রাক্
13211,Nittadiner,নিত্যদিনের
13212,Dumdum e,দমদমে
13213,Haite i,হইতেই
13214,Souravbabu,সৌরভবাবু
13215,Mood,মুড
13216,Harleo,হারলেও
13217,Koro,কোরো
13218,Nirbhool,নির্ভুল
13219,Yooktorastre,যুক্তরাষ্ট্রে
13220,Kanganar,কঙ্গনার
13221,Haar o,হারও
13222,Stage,স্টেজ
13223,Abangali,অবাঙালি
13224,Mritoo o,মৃত্যুও
13225,Kasem,কাসেম
13226,Jhoomoor,ঝুমুর
13227,Briddha k,বৃদ্ধকে
13228,Aamdani r,আমদানির
13229,Chinese,চাইনিজ
13230,Pachek er,পাঁচেকের
13231,Idaning,ইদানিং
13232,Sewing,সুইং
13233,Anabhipret,অনভিপ্রেত
13234,Technician,টেকনিশিয়ান
13235,Bornomoy,বর্ণময়
13236,See abee,সিএবির
13237,Jim,জিমে
13238,Sarani,সরণির
13239,Ballot,ব্যালট
13240,Fanush,ফানুস
13241,Ganesh er,গণেশের
13242,Pradaner,প্রদানের
13243,Khojakhuji,খোঁজাখুঁজি
13244,Chennai an,চেন্নাইয়ান
13245,Sondhyebela,সন্ধেবেলা
13246,Soja suji,সোজাসুজি
13247,Tuk tak,টুকটাক
13248,Shipra,শিপ্রা
13249,Arajnaitik,অরাজনৈতিক
13250,Koornish,কুর্নিশ
13251,Ghorotoro,ঘোরতর
13252,Foundationer,ফাউন্ডেশনের
13253,Jitben,জিতবেন
13254,Councillor,কাউন্সিলার
13255,Amontron e,আমন্ত্রণে
13256,Deb otto r,দেবোত্তর
13257,Germany te,জার্মানিতে
13258,Adhikartar,অধিকর্তার
13259,Shallya,শল্য
13260,Byaghro,ব্যাঘ্র
13261,Protibondhokota,রানওয়ে
13262,Road e,কৌশিকের
13263,Bagangulir,প্রতিবন্ধকতা
13264,A loksa jia,রোডে
13265,Kasba r,বাগানগুলির
13266,Balaker,আলোকসজ্জা
13267,Abosyok,কসবার
13268,SNCU,বালকের
13269,Bajtey,আবশ্যক
13270,Adhtoo,এসএনসিইউ
13271,Chora,বাজতে
13272,Oopoyatir,আধটু
13273,Manage,চোরা
13274,Gotre r,উপজাতির
13275,Thekanor,ম্যানেজ
13276,Pishi,গোত্রের
13277,Shilpayan,ঠেকানোর
13278,Bud Ruddin,পিসি
13279,Satangser o,শিল্পায়ন
13280,Bhoumiker,বদরুদ্দিন
13281,Sochibaloy,শতাংশেরও
13282,Ekdom i,ভৌমিকের
13283,Khajna,সচিবালয়
13284,Sochibke,একদমই
13285,Teer o,খাজনা
13286,Montritto,সচিবকে
13287,Harsha,টিরও
13288,Mandi tey,মন্ত্রিত্ব
13289,Belgium er,হর্ষ
13290,So bujer,মান্ডিতে
13291,Round e4,বেলজিয়ামের
13292,Seshkritya,সবুজের
13293,Birodhi rao,রাউন্ডের
13294,Mojuri,শেষকৃত্য
13295,Khelchi,বিরোধীরাও
13296,Khunno,মঞ্জুরি
13297,Pick,খেলছি
13298,Gari ta,ক্ষুণ্ণ
13299,Kormochari ra,গাড়িটা
13300,Shilpayaner,বেড়ান
13301,Dostar,কর্মচারীরা
13302,Bujhechi,শিল্পায়নের
13303,Tathaibocho,দশটার
13304,Haidar,বুঝেছি
13305,Sodhon,তথৈবচ
13306,Jagey,হায়দার
13307,Shastra,শোধন
13308,Alo,জাগে
13309,Dekhay ni,শাস্ত্র
13310,OT,আলো
13311,Rathayatra,দেখায়নি
13312,Checkpost,ওটি
13313,Bandage,রথযাত্রা
13314,Road er,চেকপোস্ট
13315,Dupokkhokey,ব্যান্ডেজ
13316,Sete,রোডের
13317,Khel len,দুপক্ষকে
13318,Haspatalgulitey,হাসপাতালগুলিতে
13319,Jonei,এই 
13320,Jane i,জনেই
13321,Chop,চপ
13322,Abhaboniyo,অভাবনীয়
13323,Abiskar,আবিষ্কারের
13324,Bhoo,ভূ
13325,Keshpur,কেশপুরে
13326,Rachanay,রচনায়
13327,Fish,ফিশ
13328,A B P,এবিপি
13329,Ube,উবে
13330,Lester,লেস্টার
13331,Atash bazir,আতসবাজির
13332,PAY TM,পেটিএম
13333,Suniler,সুনীলের
13334,DSO,ডিএসও
13335,Lieutenant,লেফটেন্যান্ট
13336,Museum,মিউজিয়াম
13337,Bibhutibhusan,বিভূতিভূষণ
13338,PK,পিকে
13339,Bijer,বীজের
13340,Supervisor,সুপারভাইজার
13341,Sidhu,সিধু
13342,Jansamkkhe,জনসমক্ষে
13343,Dokane i,দোকানেই
13344,Jonno,জন্য 
13345,jaidi,জৈদী
13346,Desh gulitey,দেশগুলিতে
13347,Toder,তোদের
13348,Madhyamgram,মধ্যমগ্রাম
13349,Jawabdihi,জবাবদিহি
13350,Jaladharer,জলাধারের
13351,Shusko,শুষ্ক
13352,Naser,নাসের
13353,Mahabidyalayer,মহাবিদ্যালয়ের
13354,Durdoshar,দুর্দশার
13355,Safety,সেফটি
13356,Sthanantar,স্থানান্তর
13357,Regional,রিজিওনাল
13358,Nilamer,নিলামের
13359,Bresho,বৃষ
13360,Motors,মোটরস
13361,Pandabeswar,পাণ্ডবেশ্বরের
13362,Kinechilen,কিনেছিলেন
13363,Bidheyo,বিধেয়
13364,Tapas er,তাপসের
13365,ATC,এটিসি
13366,Porjaykromey,পর্যায়ক্রমে
13367,Jive,জিভে
13368,Bochorta,বছরটা
13369,Khalid,খালিদ
13370,Straight,স্ট্রেট
13371,Bangkok,ব্যাঙ্কক
13372,Mantey i,মানতেই
13373,Khotigrostoder,ক্ষতিগ্রস্তদের
13374,Poripurno,পরিপূর্ণ
13375,Meshan,মেশান
13376,Shobhao,সভাও
13377,Shebar,সেবার
13378,Anil babu,অনিলবাবুর
13379,Out e,আউটে
13380,Baratborsher,ভারতবর্ষের
13381,Mritshilpi,মৃৎশিল্পী
13382,Dalkhola,ডালখোলা
13383,Siddhanta ta,সিদ্ধান্তটা
13384,Chokhe mukhe,চোখেমুখে
13385,Employees,এমপ্লয়িজ
13386,Brahmaputra,ব্রহ্মপুত্র
13387,Adhinostho,অধীনস্থ
13388,Podonnoti,পদোন্নতি
13389,Kaptey,কাঁপতে
13390,Dokanguli tey,দোকানগুলিতে
13391,Shanu,শানু
13392,Nibhiye,নিভিয়ে
13393,Muktipon,মুক্তিপণ
13394,Shiber,শিবের
13395,Adhyatik,আধ্যাত্মিক
13396,Trial,ট্রায়াল
13397,Charpotro,ছাড়পত্র
13398,Dharekachey,ধারেকাছে
13399,Kritaggata,কৃতজ্ঞতা
13400,Taaskin,তাসকিন
13401,Sahajjo o,সাহায্যও
13402,Kalipodo,কালীপদ
13403,Mahanagerer,মহানগরের
13404,Bariyechen,বাড়িয়েছেন
13405,Phese,ফেঁসে
13406,Chumuk,চুমুক
13407,Pagaler,পাগলের
13408,Koushal er,কৌশলের
13409,Kebal i,কেবলই
13410,Phatanor,ফাটানোর
13411,Leave,লিভ
13412,Kolkata teyi,কলকাতাতেই
13413,Jua,জুয়া
13414,Bahubali,বাহুবলী
13415,Periyeche,পেরিয়েছে
13416,Naru,নাড়ু
13417,Chcharatey,ছাড়াতে
13418,Drutatama,দ্রুততম
13419,Pustikor,পুষ্টিকর
13420,Avenue e,অ্যাভিনিউয়ে
13421,Aproyojonio,অপ্রয়োজনীয়
13422,Convention,কনভেনশন
13423,Raf,র‌্যাফ
13424,Mitali,মিতালি
13425,Image,ইমেজ
13426,Beer,বিয়ার
13427,Basabaser,বসবাসের
13428,Bhir o,ভিড়ও
13429,Chchut,ছুট
13430,Unmochon,উন্মোচন
13431,Nurse ra,নার্সরা
13432,Jubati k,যুবতীকে
13433,Dege,দেগে
13434,Lagiyechen,লাগিয়েছে
13435,Stand er,স্ট্যান্ডের
13436,Kaporer,কাপড়ের
13437,Amake i,আমাকেই
13438,Tatporata,তৎপরতার
13439,Tule i,তুলেই
13440,Chaiten,চাইতেন
13441,Shilpamontri,শিল্পমন্ত্রী
13442,Sakiber,সাকিবের
13443,Nirbachoker,নির্বাচকদের
13444,Ankora,আনকোরা
13445,Jongipurer,জঙ্গিপুরে
13446,Shikey,শিকে
13447,Puronigam,পুরনিগম
13448,Bhetki,ভেটকি
13449,Jam,জ্যাম
13450,Sakrailer,সাঁকরাইলের
13451,Salman ke,সলমনকে
13452,Bibaher,বিবাহের
13453,Lok i,লোকই
13454,charjonke,চারজনকে
13455,Shatru ta,শত্রুতা
13456,Bhoswibhuto,ভস্মীভূত
13457,Dhorben,ধরবেন
13458,Name o,নামেও
13459,Gurunger,গুরুঙ্গের
13460,Pathabe,পাঠাবে
13461,Omni,অমনি
13462,Trinamul i,তৃণমূলই
13463,Bertho,বার্থ
13464,Aswin ke,অশ্বিনকে
13465,Mojur,মজুর
13466,Nagorikra,নাগরিকরা
13467,Shordi,সর্দি
13468,Municipal,মিউনিসিপ্যাল
13469,Mukhtijudher,মুক্তিযুদ্ধের
13470,Souchakarma,শৌচকর্ম
13471,Amma,আম্মা
13472,Phelay,ফেলায়
13473,Katalen,কাটালেন
13474,Noboborsher,নববর্ষের
13475,Rajmistry,রাজমিস্ত্রির
13476,Nomita,নমিতা
13477,Nashtanabudh,নাস্তানাবুদ
13478,Putuler,পুতুলের
13479,Putrer,পুত্রের
13480,Sasuri,শাশুড়ি
13481,Anderson,অ্যান্ডারসন
13482,Kompon,কম্পন
13483,Adanprodan,আদানপ্রদান
13484,Deepak Babu,দীপকবাবু
13485,Hashlen,হাসলেন
13486,Koyal,কয়াল
13487,Merudondo,মেরুদণ্ড
13488,Bharat e,ভারতই
13489,Mohajon,মহাজন
13490,Saddam,সাদ্দাম
13491,Industries,ইন্ডাস্ট্রিজ
13492,Koyekmash,কয়েকমাস
13493,Dongyer,ডংয়ের
13494,Prodhander,প্রধানদের
13495,Chokri,চক্রী
13496,Khorer,খড়ের
13497,Makup,মেকআপ
13498,Dorer,দরের
13499,Shejonno,সেজন্য
13500,Tuleo,তুলেও
13501,Dadader,দাদাদের
13502,Bathroom,বাথরুম
13503,Anushthane,অনুষ্ঠানেই
13504,Salgaokar,সালগাওকর
13505,Rammohon,রামমোহন
13506,Shonarpur,সোনারপুর
13507,Sankarpur,শঙ্করপুর
13508,Bhatar,ভাটার
13509,Joggotar,যোগ্যতার
13510,Dressingroom e,ড্রেসিংরুমের
